session_id,feature_name,usage_timestamp
S000001,Settings,2025-03-12 15:49:30
S000001,Reporting,2025-03-12 15:50:34
S000001,Notifications,2025-03-12 15:25:32
S000001,Automation,2025-03-12 15:25:03
S000001,Dashboard,2025-03-12 15:44:10
S000001,Collaboration,2025-03-12 15:22:33
S000002,Settings,2025-03-24 12:08:29
S000002,Dashboard,2025-03-24 11:42:38
S000002,Collaboration,2025-03-24 11:50:43
S000002,Automation,2025-03-24 12:01:21
S000002,Integrations,2025-03-24 12:32:01
S000003,Automation,2025-09-02 11:16:51
S000004,Collaboration,2025-02-27 15:07:02
S000004,Settings,2025-02-27 15:13:39
S000005,Insights,2025-09-02 07:25:52
S000005,Integrations,2025-09-02 07:41:20
S000005,Collaboration,2025-09-02 07:34:22
S000005,Dashboard,2025-09-02 07:32:02
S000006,Reporting,2025-03-16 15:14:34
S000007,Automation,2023-08-23 12:23:18
S000007,Notifications,2023-08-23 12:11:29
S000007,Reporting,2023-08-23 11:55:17
S000007,Settings,2023-08-23 12:23:18
S000007,Integrations,2023-08-23 11:57:13
S000008,Dashboard,2025-06-20 18:14:28
S000009,Reporting,2025-05-26 08:02:25
S000009,Notifications,2025-05-26 07:11:02
S000009,Insights,2025-05-26 07:51:52
S000010,Settings,2024-06-17 20:24:31
S000010,Integrations,2024-06-17 21:00:26
S000011,Notifications,2024-02-28 18:39:04
S000011,Reporting,2024-02-28 18:15:52
S000011,Collaboration,2024-02-28 19:10:15
S000011,Insights,2024-02-28 17:32:15
S000012,Collaboration,2023-07-10 07:43:25
S000012,Dashboard,2023-07-10 07:17:04
S000012,Reporting,2023-07-10 07:52:06
S000012,Insights,2023-07-10 07:48:23
S000013,Automation,2023-06-04 09:01:01
S000013,Settings,2023-06-04 08:44:49
S000013,Integrations,2023-06-04 08:29:43
S000013,Insights,2023-06-04 08:29:44
S000014,Settings,2025-09-02 20:27:34
S000015,Notifications,2025-09-05 10:14:12
S000015,Dashboard,2025-09-05 09:25:27
S000015,Automation,2025-09-05 11:03:21
S000015,Reporting,2025-09-05 11:02:14
S000015,Settings,2025-09-05 09:39:49
